Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
45c7a9fe_batch0,"[""{\n  \""employer_cost_share\"": 65,\n  \""dependent_coverage\"": 85,\n  \""additional_benefits\"": 60,\n  \""overall_generosity\"": 70,\n  \""coverage_breadth\"": 75\n}""]",,20.471029043197632,47356,1792,1870,,[],['resp_082d11b66043e59c0069989eca428081978fa6e8fe25e235c0'],True
3eb14800_batch0_run2,"[""{\n  \""dependent_coverage\"": 70,\n  \""overall_generosity\"": 40,\n  \""coverage_breadth\"": 20,\n  \""employer_cost_share\"": 0,\n  \""additional_benefits\"": 25\n}""]",,14.617369174957275,30282,1536,1605,,[],['resp_0b5688a3a4089d430069989ed69dbc8194bb5715b7dfda27a3'],True
9e37bc07_batch0_run2,"[""{\n  \""dependent_coverage\"": 85,\n  \""overall_generosity\"": 80,\n  \""additional_benefits\"": 60,\n  \""coverage_breadth\"": 70,\n  \""employer_cost_share\"": 74\n}""]",,25.6441171169281,13258,3008,3120,,[],['resp_02da296355996cf20069989edcb9e08196b8db413778504b40'],True
d346416a_batch0_run2,"[""{\n  \""coverage_breadth\"": 40,\n  \""overall_generosity\"": 70,\n  \""additional_benefits\"": 0,\n  \""dependent_coverage\"": 0,\n  \""employer_cost_share\"": 100\n}""]",,19.371904850006104,20128,2240,2321,,[],['resp_03789b87b14c628b0069989ee57fb48194a486fd64b6ee0a76'],True
8c2921d1_batch0_run2,"[""{\n  \""coverage_breadth\"": 75,\n  \""dependent_coverage\"": 90,\n  \""employer_cost_share\"": 95,\n  \""overall_generosity\"": 92,\n  \""additional_benefits\"": 40\n}""]",,16.723835229873657,36536,1664,1756,,[],['resp_06c09250fff4c4b30069989ef41a648195be27fe80bb325b2d'],True
f8fbe273_batch0_run2,"[""{\n  \""employer_cost_share\"": 70,\n  \""dependent_coverage\"": 0,\n  \""coverage_breadth\"": 60,\n  \""additional_benefits\"": 0,\n  \""overall_generosity\"": 55\n}""]",,16.489686965942383,19932,1600,1656,,[],['resp_09b41989d298d57f0069989efcae488196a72da3803d09116f'],True
2d60cf9d_batch0_run2,"[""{\n\t\""additional_benefits\"": 0,\n\t\""overall_generosity\"": 90,\n\t\""employer_cost_share\"": 100,\n\t\""dependent_coverage\"": 100,\n\t\""coverage_breadth\"": 85\n}""]",,18.685946941375732,14664,1984,2085,,[],['resp_014072dd81db26670069989f0d278c8190a0881f4c6e1b5abd'],True
ee2ae3cb_batch0_run2,"[""{\n  \""additional_benefits\"": 60,\n  \""employer_cost_share\"": 95,\n  \""dependent_coverage\"": 70,\n  \""coverage_breadth\"": 65,\n  \""overall_generosity\"": 85\n}""]",,29.181369066238403,22006,3264,3359,,[],['resp_033a568b1c1a87f00069989f061ebc81908fa496a0043ed043'],True
633dab55_batch0_run2,"[""{\n  \""dependent_coverage\"": 0,\n  \""coverage_breadth\"": 10,\n  \""employer_cost_share\"": 0,\n  \""additional_benefits\"": 0,\n  \""overall_generosity\"": 25\n}""]",,13.559698104858398,2663,1664,1760,,[],['resp_0c4890ef1a7b091e0069989f1fcd848195b6bb9680f5979449'],True
10fdb2a6_batch0_run2,"[""{\n  \""dependent_coverage\"": 100,\n  \""coverage_breadth\"": 92,\n  \""additional_benefits\"": 70,\n  \""employer_cost_share\"": 100,\n  \""overall_generosity\"": 92\n}""]",,20.307554960250854,37574,2304,2390,,[],['resp_0ee21c14729fa6a90069989f1bcacc81968eec827b4c43c60e'],True
694aa4ce_batch0_run2,"[""{\n  \""coverage_breadth\"": 25,\n  \""additional_benefits\"": 10,\n  \""dependent_coverage\"": 0,\n  \""overall_generosity\"": 22,\n  \""employer_cost_share\"": 0\n}""]",,15.63201379776001,9668,1792,1876,,[],['resp_001a18a63adb35480069989f23d6588194b6a8f5e347b5abf9'],True
8bc66d13_batch0_run2,"[""{\n  \""employer_cost_share\"": 85,\n  \""dependent_coverage\"": 90,\n  \""coverage_breadth\"": 90,\n  \""overall_generosity\"": 90,\n  \""additional_benefits\"": 25\n}""]",,23.21553111076355,4342,2944,3052,,[],['resp_07486a000c12ce9a0069989f2d5d7481949c56c1ff7d39f4ba'],True
45c7a9fe_batch0_run2,"[""{\n  \""employer_cost_share\"": 60,\n  \""dependent_coverage\"": 90,\n  \""additional_benefits\"": 20,\n  \""overall_generosity\"": 75,\n  \""coverage_breadth\"": 85\n}""]",,20.230255842208862,47356,2048,2122,,[],['resp_0c50e09dd436dd530069989f38bc408194832c1cc081a685c1'],True
f02aa9fd_batch0_run3,"[""{\n  \""coverage_breadth\"": 90,\n  \""employer_cost_share\"": 25,\n  \""overall_generosity\"": 85,\n  \""dependent_coverage\"": 95,\n  \""additional_benefits\"": 70\n}""]",,16.82071089744568,28418,2048,2121,,[],['resp_0abd0cea2efe7c470069989f44a5c48197905ce47dc06417ca'],True
7828ea6d_batch0_run3,"[""{\n  \""dependent_coverage\"": 95,\n  \""overall_generosity\"": 92,\n  \""additional_benefits\"": 85,\n  \""employer_cost_share\"": 90,\n  \""coverage_breadth\"": 90\n}""]",,19.028955936431885,34986,1920,1976,,[],['resp_0ed434286969c32c0069989f524aa48196abd99f6635e5d9f6'],True
6b122751_batch0_run2,"[""{\n  \""coverage_breadth\"": 90,\n  \""employer_cost_share\"": 60,\n  \""overall_generosity\"": 85,\n  \""additional_benefits\"": 72,\n  \""dependent_coverage\"": 92\n}""]",,19.38014006614685,51829,2304,2394,,[],['resp_0f07d5afb2170ed10069989f94449881979bdffa94789e7623'],True
8c59bca6_batch0_run3,"[""{\n  \""coverage_breadth\"": 60,\n  \""overall_generosity\"": 20,\n  \""employer_cost_share\"": 0,\n  \""additional_benefits\"": 0,\n  \""dependent_coverage\"": 100\n}""]",,10.402030944824219,18669,1472,1554,,[],['resp_0384511de65a8aca0069989fa777c4819591b01d1ccbfde18e'],True
4588158d_batch0_run3,"[""{\n  \""employer_cost_share\"": 0,\n  \""dependent_coverage\"": 0,\n  \""coverage_breadth\"": 0,\n  \""overall_generosity\"": 0,\n  \""additional_benefits\"": 0\n}""]",,7.5563108921051025,15898,960,1071,,[],['resp_04a61fecd6d6c4850069989fb762a081949d00e8741c3cf489'],True
6b122751_batch0_run3,"[""{\n  \""coverage_breadth\"": 85,\n  \""employer_cost_share\"": 70,\n  \""overall_generosity\"": 90,\n  \""additional_benefits\"": 75,\n  \""dependent_coverage\"": 92\n}""]",,15.940320014953613,51829,1984,2055,,[],['resp_0ee63dc6a3e436390069989fb065008193a2f91e770cbed662'],True
9e37bc07_batch0_run3,"[""{\n  \""dependent_coverage\"": 78,\n  \""overall_generosity\"": 85,\n  \""additional_benefits\"": 72,\n  \""coverage_breadth\"": 78,\n  \""employer_cost_share\"": 80\n}""]",,17.568319082260132,13258,2624,2719,,[],['resp_0cdf8df1ed4b7bb60069989fc3161481959c6c5330301b61c0'],True
3eb14800_batch0_run3,"[""{\n  \""dependent_coverage\"": 85,\n  \""overall_generosity\"": 40,\n  \""coverage_breadth\"": 25,\n  \""employer_cost_share\"": 15,\n  \""additional_benefits\"": 10\n}""]",,13.502526998519897,30282,1728,1824,,[],['resp_08a85174ae2311140069989fc9c0088197baa594f1764c9cf3'],True
d346416a_batch0_run3,"[""{\n  \""coverage_breadth\"": 40,\n  \""overall_generosity\"": 60,\n  \""additional_benefits\"": 40,\n  \""dependent_coverage\"": 0,\n  \""employer_cost_share\"": 100\n}""]",,19.656765937805176,20128,2688,2784,,[],['resp_03802fe4b330d4cb0069989fd4b57881968a057037f4573e32'],True
f8fbe273_batch0_run3,"[""{\n  \""employer_cost_share\"": 0,\n  \""dependent_coverage\"": 0,\n  \""coverage_breadth\"": 78,\n  \""additional_benefits\"": 25,\n  \""overall_generosity\"": 68\n}""]",,19.45025396347046,19932,2432,2505,,[],['resp_0353f1c43971b7850069989fdabc9881908f16d5b7781e0a5a'],True
ee2ae3cb_batch0_run3,"[""{\n  \""additional_benefits\"": 25,\n  \""employer_cost_share\"": 85,\n  \""dependent_coverage\"": 70,\n  \""coverage_breadth\"": 60,\n  \""overall_generosity\"": 85\n}""]",,26.03576111793518,22006,2432,2546,,[],['resp_00d58fd837ee7c210069989fe6850c819487a2ee6445388dac'],True
2d60cf9d_batch0_run3,"[""{\n  \""overall_generosity\"": 85,\n  \""employer_cost_share\"": 100,\n  \""additional_benefits\"": 20,\n  \""coverage_breadth\"": 92,\n  \""dependent_coverage\"": 100\n}""]",,19.09245491027832,14664,2176,2246,,[],['resp_0cacd6acd80c35690069989fef617c81938d4f31cc0f6b2f9f'],True
633dab55_batch0_run3,"[""{\n  \""dependent_coverage\"": 0,\n  \""coverage_breadth\"": 25,\n  \""employer_cost_share\"": 25,\n  \""additional_benefits\"": 0,\n  \""overall_generosity\"": 35\n}""]",,11.40524697303772,2663,1216,1299,,[],['resp_048c3b34ddbc80f20069989ffdfcdc819588b566f4c719d268'],True
8c2921d1_batch0_run3,"[""{\n  \""coverage_breadth\"": 75,\n  \""dependent_coverage\"": 90,\n  \""employer_cost_share\"": 92,\n  \""overall_generosity\"": 83,\n  \""additional_benefits\"": 28\n}""]",,18.735581874847412,36536,1664,1741,,[],['resp_0b5392f6e91ba1a10069989ff9469c81949df305d0fd28279d'],True
694aa4ce_batch0_run3,"[""{\n  \""coverage_breadth\"": 25,\n  \""additional_benefits\"": 0,\n  \""dependent_coverage\"": 0,\n  \""overall_generosity\"": 35,\n  \""employer_cost_share\"": 40\n}""]",,24.41746997833252,9668,2432,2516,,[],['resp_03c914fe16d3d079006998a0014c8481969435e487d4891ad8'],True
8bc66d13_batch0_run3,"[""{\n  \""dependent_coverage\"": 88,\n  \""overall_generosity\"": 80,\n  \""coverage_breadth\"": 65,\n  \""employer_cost_share\"": 85,\n  \""additional_benefits\"": 70\n}""]",,20.23670196533203,4342,2048,2143,,[],['resp_06f5039e23f2152f006998a009670c8196acc214eca1621f93'],True
41fc7706_batch0_run3,"[""{\n  \""dependent_coverage\"": 95,\n  \""employer_cost_share\"": 90,\n  \""overall_generosity\"": 85,\n  \""additional_benefits\"": 78,\n  \""coverage_breadth\"": 95\n}""]",,17.91579508781433,28662,1728,1838,,[],['resp_0a9f93efd971bc4e006998a00f235481979bde4ab0f3d88354'],True
e25866cf_batch0_run3,"[""{\n\t\""coverage_breadth\"": 89,\n\t\""overall_generosity\"": 73,\n\t\""additional_benefits\"": 26,\n\t\""employer_cost_share\"": 61,\n\t\""dependent_coverage\"": 94\n}""]",,38.85897898674011,20615,3648,3743,,"[""API call timed out after 92.4835854768753 s"", ""OpenAI client timed out; consider reducing concurrency. Details: API call timed out after 92.4835854768753 s (elapsed 92.88s)""]",['resp_0ee91a3dce80df02006998a019bc4c81959af3ff1f9d62c436'],True
10fdb2a6_batch0_run3,"[""{\n  \""dependent_coverage\"": 90,\n  \""coverage_breadth\"": 93,\n  \""additional_benefits\"": 95,\n  \""employer_cost_share\"": 100,\n  \""overall_generosity\"": 92\n}""]",,27.545224905014038,37574,2240,2359,,[],['resp_05930a214f469b67006998a026c4108195ae615229757ada1a'],True
45c7a9fe_batch0_run3,"[""{\n  \""employer_cost_share\"": 70,\n  \""dependent_coverage\"": 85,\n  \""additional_benefits\"": 65,\n  \""overall_generosity\"": 75,\n  \""coverage_breadth\"": 80\n}""]",,28.353344202041626,47356,1792,1909,,[],['resp_01bca3aa00cc5c31006998a03b68248197940ec3c586b2cc80'],True
fba53a5f_batch0_run3,"[""{\n  \""coverage_breadth\"": 85,\n  \""additional_benefits\"": 70,\n  \""overall_generosity\"": 72,\n  \""dependent_coverage\"": 90,\n  \""employer_cost_share\"": 70\n}""]",,19.4197781085968,48650,1472,1564,,"[""API call timed out after 92.4835854768753 s"", ""OpenAI client timed out; consider reducing concurrency. Details: API call timed out after 92.4835854768753 s (elapsed 92.66s)""]",['resp_0c36e00805fa65cd006998a04ba01c819694c0a45d9a0ed3a3'],True
fba53a5f_batch0_run2,"[""{\n  \""coverage_breadth\"": 90,\n  \""additional_benefits\"": 70,\n  \""overall_generosity\"": 70,\n  \""dependent_coverage\"": 90,\n  \""employer_cost_share\"": 85\n}""]",,29.65294575691223,48650,2432,2509,,"[""API call timed out after 92.4835854768753 s"", ""OpenAI client timed out; consider reducing concurrency. Details: API call timed out after 92.4835854768753 s (elapsed 92.74s)""]",['resp_04505a8f20a43a6c006998a05e56f48193828b8c0f0b695f58'],True
