## APPENDIX A

| 015 | 9048 | THERAPIST, RESPIRATORY, II | 2. | $5,479 | $31.49 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 3. | $5,547 | $31.88 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 4. | $5,614 | $32.26 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 5. | $5,685 | $32.67 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 6. | $5,756 | $33.08 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 7. | $5,827 | $33.49 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 8. | $5,903 | $33.93 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 9. | $5,975 | $34.34 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 10. | $6,052 | $34.78 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 11. | $6,126 | $35.21 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 12. | $6,203 | $35.65 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 13. | $6,280 | $36.09 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 14. | $6,359 | $36.55 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 15. | $6,438 | $37.00 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 16. | $6,519 | $37.47 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 17. | $6,600 | $37.93 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 18. | $6,683 | $38.41 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 19. | $6,767 | $38.89 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 20. | $6,851 | $39.37 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 21. | $6,937 | $39.87 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 22. | $7,024 | $40.37 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 23. | $7,111 | $40.87 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 24. | $7,200 | $41.38 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | 25. | $7,290 | $41.90 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 1. | $4,920 | $28.28 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 2. | $4,983 | $28.64 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 3. | $5,046 | $29.00 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 4. | $5,108 | $29.36 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 5. | $5,172 | $29.72 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 6. | $5,237 | $30.10 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 7. | $5,301 | $30.47 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 8. | $5,368 | $30.85 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 9. | $5,436 | $31.24 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 10. | $5,502 | $31.62 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 11. | $5,573 | $32.03 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 12. | $5,642 | $32.43 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 13. | $5,711 | $32.82 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 14. | $5,782 | $33.23 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 15. | $5,855 | $33.65 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 16. | $5,927 | $34.06 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 17. | $6,002 | $34.49 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 18. | $6,077 | $34.93 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 19. | $6,153 | $35.36 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 20. | $6,230 | $35.80 | $3.00 | $4.50 | $1.50 | 50% | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | 21. | $6,308 | $36.25 | $3.00 | $4.50 | $1.50 | 50% | | |

- 146 -
