# APPENDIX A

## SHIFT DIFFERENTIAL
## ON CALL RATES

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | EVE | NIGHT | WKEND | 1 | 2 | 3 |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 3. | $3,650 | $20.98 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 4. | $3,693 | $21.22 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 5. | $3,741 | $21.50 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 6. | $3,787 | $21.76 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 7. | $3,835 | $22.04 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 8. | $3,883 | $22.32 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 9. | $3,930 | $22.59 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 10. | $3,980 | $22.87 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 11. | $4,029 | $23.16 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 12. | $4,081 | $23.45 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 13. | $4,131 | $23.74 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 14. | $4,182 | $24.03 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 15. | $4,235 | $24.34 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 16. | $4,286 | $24.63 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 17. | $4,342 | $24.95 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 18. | $4,395 | $25.26 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 19. | $4,452 | $25.59 | $2.00 | $3.25 | $1.00 | 50% | | |

- 131 -
