## APPENDIX A

| | | | | | | | SHIFT DIFFERENTIAL | | | ON CALL RATES | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **LINK CODE** | **TITLE CODE** | **TITLE NAME** | **STEP** | **MONTHLY RATE** | **HOURLY RATE** | **EVE** | **NIGHT** | **WKEND** | **1** | **2** | **3** |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 7. | $2,708 | $15.56 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 8. | $2,742 | $15.76 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 9. | $2,776 | $15.95 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 10. | $2,811 | $16.16 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 11. | $2,846 | $16.36 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 12. | $2,882 | $16.56 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 13. | $2,917 | $16.76 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 14. | $2,955 | $16.98 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 15. | $2,990 | $17.18 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 16. | $3,029 | $17.41 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 17. | $3,066 | $17.62 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 18. | $3,106 | $17.85 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 19. | $3,143 | $18.06 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 20. | $3,183 | $18.29 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 21. | $3,223 | $18.52 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 22. | $3,263 | $18.75 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 23. | $3,305 | $18.99 | $2.00 | $3.25 | $1.00 | 50% | | |

- 151 -
